filename,channel,subjectId,labelerId
Visual_scoring1_excerpt1.csv,C3-A1,1,1
Visual_scoring1_excerpt2.csv,CZ-A1,2,1
Visual_scoring1_excerpt3.csv,C3-A1,3,1
Visual_scoring1_excerpt4.csv,CZ-A1,4,1
Visual_scoring1_excerpt5.csv,CZ-A1,5,1
Visual_scoring1_excerpt6.csv,CZ-A1,6,1
Visual_scoring1_excerpt7.csv,CZ-A1,7,1
Visual_scoring1_excerpt8.csv,CZ-A1,8,1
Visual_scoring2_excerpt1.csv,C3-A1,1,2
Visual_scoring2_excerpt2.csv,CZ-A1,2,2
Visual_scoring2_excerpt3.csv,C3-A1,3,2
Visual_scoring2_excerpt4.csv,CZ-A1,4,2
Visual_scoring2_excerpt5.csv,CZ-A1,5,2
Visual_scoring2_excerpt6.csv,CZ-A1,6,2